#HEADER,2017-06-01 12:42:53, Logfile newly created as 'background-darkness-CPM.log'
#LOGGING with cycle 3.0 sec, and mode 'CPM', using device 'GMC-300E Plus v4.20'
    417,2017-06-01 13:03:56, 19
    418,2017-06-01 13:03:59, 19
    419,2017-06-01 13:04:02, 19
    420,2017-06-01 13:04:05, 19
    421,2017-06-01 13:04:08, 19
    422,2017-06-01 13:04:11, 15
    423,2017-06-01 13:04:14, 15
    424,2017-06-01 13:04:17, 17
    425,2017-06-01 13:04:20, 15
    426,2017-06-01 13:04:23, 15
    427,2017-06-01 13:04:26, 16
    428,2017-06-01 13:04:29, 16
    429,2017-06-01 13:04:32, 16
    430,2017-06-01 13:04:35, 17
    431,2017-06-01 13:04:38, 17
    432,2017-06-01 13:04:41, 16
    433,2017-06-01 13:04:44, 17
    434,2017-06-01 13:04:47, 20
    435,2017-06-01 13:04:50, 20
    436,2017-06-01 13:04:53, 22
    437,2017-06-01 13:04:56, 20
    438,2017-06-01 13:04:59, 21
    439,2017-06-01 13:05:02, 22
    440,2017-06-01 13:05:05, 24
    441,2017-06-01 13:05:08, 24
    442,2017-06-01 13:05:11, 26
    443,2017-06-01 13:05:14, 26
    444,2017-06-01 13:05:17, 26
    445,2017-06-01 13:05:20, 26
    446,2017-06-01 13:05:23, 26
    447,2017-06-01 13:05:26, 25
    448,2017-06-01 13:05:29, 26
    449,2017-06-01 13:05:32, 25
    450,2017-06-01 13:05:35, 24
    451,2017-06-01 13:05:38, 26
    452,2017-06-01 13:05:41, 30
    453,2017-06-01 13:05:44, 29
    454,2017-06-01 13:05:47, 28
    455,2017-06-01 13:05:50, 26
    456,2017-06-01 13:05:53, 25
    457,2017-06-01 13:05:56, 26
    458,2017-06-01 13:05:59, 26
    459,2017-06-01 13:06:02, 26
    460,2017-06-01 13:06:05, 24
    461,2017-06-01 13:06:08, 24
    462,2017-06-01 13:06:11, 23
    463,2017-06-01 13:06:14, 22
    464,2017-06-01 13:06:17, 21
    465,2017-06-01 13:06:20, 22
    466,2017-06-01 13:06:23, 23
    467,2017-06-01 13:06:26, 23
    468,2017-06-01 13:06:29, 24
    469,2017-06-01 13:06:32, 24
    470,2017-06-01 13:06:35, 25
    471,2017-06-01 13:06:38, 24
    472,2017-06-01 13:06:41, 21
    473,2017-06-01 13:06:44, 21
    474,2017-06-01 13:06:47, 19
    475,2017-06-01 13:06:50, 17
    476,2017-06-01 13:06:53, 16
    477,2017-06-01 13:06:56, 15
    478,2017-06-01 13:06:59, 14
    479,2017-06-01 13:07:02, 15
    480,2017-06-01 13:07:05, 14
    481,2017-06-01 13:07:08, 15
    482,2017-06-01 13:07:11, 15
    483,2017-06-01 13:07:14, 17
    484,2017-06-01 13:07:17, 16
    485,2017-06-01 13:07:20, 17
    486,2017-06-01 13:07:23, 16
    487,2017-06-01 13:07:26, 16
    488,2017-06-01 13:07:29, 16
    489,2017-06-01 13:07:32, 17
    490,2017-06-01 13:07:35, 17
    491,2017-06-01 13:07:38, 18
    492,2017-06-01 13:07:41, 16
    493,2017-06-01 13:07:44, 17
    494,2017-06-01 13:07:47, 19
    495,2017-06-01 13:07:50, 20
    496,2017-06-01 13:07:53, 21
    497,2017-06-01 13:07:56, 22
    498,2017-06-01 13:07:59, 24
    499,2017-06-01 13:08:02, 24
    500,2017-06-01 13:08:05, 24
    501,2017-06-01 13:08:08, 25
    502,2017-06-01 13:08:11, 26
    503,2017-06-01 13:08:14, 28
    504,2017-06-01 13:08:17, 28
    505,2017-06-01 13:08:20, 28
    506,2017-06-01 13:08:23, 30
    507,2017-06-01 13:08:26, 32
    508,2017-06-01 13:08:29, 30
    509,2017-06-01 13:08:32, 29
    510,2017-06-01 13:08:35, 28
    511,2017-06-01 13:08:38, 29
    512,2017-06-01 13:08:41, 29
    513,2017-06-01 13:08:44, 29
    514,2017-06-01 13:08:47, 27
    515,2017-06-01 13:08:50, 26
    516,2017-06-01 13:08:53, 26
    517,2017-06-01 13:08:56, 27
    518,2017-06-01 13:08:59, 27
    519,2017-06-01 13:09:02, 29
    520,2017-06-01 13:09:05, 29
    521,2017-06-01 13:09:08, 28
    522,2017-06-01 13:09:11, 27
    523,2017-06-01 13:09:14, 24
    524,2017-06-01 13:09:17, 23
    525,2017-06-01 13:09:20, 21
    526,2017-06-01 13:09:23, 21
    527,2017-06-01 13:09:26, 18
    528,2017-06-01 13:09:29, 18
    529,2017-06-01 13:09:32, 18
    530,2017-06-01 13:09:35, 19
    531,2017-06-01 13:09:38, 18
    532,2017-06-01 13:09:41, 20
    533,2017-06-01 13:09:44, 20
    534,2017-06-01 13:09:47, 22
    535,2017-06-01 13:09:50, 22
    536,2017-06-01 13:09:53, 21
    537,2017-06-01 13:09:56, 22
    538,2017-06-01 13:09:59, 22
    539,2017-06-01 13:10:02, 20
    540,2017-06-01 13:10:05, 19
    541,2017-06-01 13:10:08, 20
    542,2017-06-01 13:10:11, 21
    543,2017-06-01 13:10:14, 21
    544,2017-06-01 13:10:17, 22
    545,2017-06-01 13:10:20, 25
    546,2017-06-01 13:10:23, 25
    547,2017-06-01 13:10:26, 27
    548,2017-06-01 13:10:29, 28
    549,2017-06-01 13:10:32, 28
    550,2017-06-01 13:10:35, 27
    551,2017-06-01 13:10:38, 27
    552,2017-06-01 13:10:41, 23
    553,2017-06-01 13:10:44, 23
    554,2017-06-01 13:10:47, 22
    555,2017-06-01 13:10:50, 22
    556,2017-06-01 13:10:53, 23
    557,2017-06-01 13:10:56, 24
    558,2017-06-01 13:10:59, 24
    559,2017-06-01 13:11:02, 21
    560,2017-06-01 13:11:05, 23
    561,2017-06-01 13:11:08, 24
    562,2017-06-01 13:11:11, 23
    563,2017-06-01 13:11:14, 24
    564,2017-06-01 13:11:17, 24
    565,2017-06-01 13:11:20, 23
    566,2017-06-01 13:11:23, 22
    567,2017-06-01 13:11:26, 21
    568,2017-06-01 13:11:29, 22
    569,2017-06-01 13:11:32, 23
    570,2017-06-01 13:11:35, 23
    571,2017-06-01 13:11:38, 24
    572,2017-06-01 13:11:41, 24
    573,2017-06-01 13:11:44, 25
    574,2017-06-01 13:11:47, 26
    575,2017-06-01 13:11:50, 26
    576,2017-06-01 13:11:53, 25
    577,2017-06-01 13:11:56, 22
    578,2017-06-01 13:11:59, 20
    579,2017-06-01 13:12:02, 20
    580,2017-06-01 13:12:05, 18
    581,2017-06-01 13:12:08, 17
    582,2017-06-01 13:12:11, 17
    583,2017-06-01 13:12:14, 18
    584,2017-06-01 13:12:17, 19
    585,2017-06-01 13:12:20, 17
