#HEADER,2017-06-01 09:15:25, Logfile newly created as 'background-darkness-CPS.log'
#LOGGING with cycle 1.0 sec, and mode 'CPS', using device 'GMC-300E Plus v4.20'
    695,2017-06-01 09:27:31, 0
    696,2017-06-01 09:27:32, 0
    697,2017-06-01 09:27:33, 60
    698,2017-06-01 09:27:34, 0
    699,2017-06-01 09:27:35, 0
    700,2017-06-01 09:27:36, 0
    701,2017-06-01 09:27:37, 0
    702,2017-06-01 09:27:38, 60
    703,2017-06-01 09:27:39, 0
    704,2017-06-01 09:27:40, 0
    705,2017-06-01 09:27:41, 0
    706,2017-06-01 09:27:42, 0
    707,2017-06-01 09:27:43, 120
    708,2017-06-01 09:27:44, 0
    709,2017-06-01 09:27:45, 60
    710,2017-06-01 09:27:46, 0
    711,2017-06-01 09:27:47, 0
    712,2017-06-01 09:27:48, 0
    713,2017-06-01 09:27:49, 0
    714,2017-06-01 09:27:50, 0
    715,2017-06-01 09:27:51, 0
    716,2017-06-01 09:27:52, 0
    717,2017-06-01 09:27:53, 0
    718,2017-06-01 09:27:54, 60
    719,2017-06-01 09:27:55, 0
    720,2017-06-01 09:27:56, 0
    721,2017-06-01 09:27:57, 0
    722,2017-06-01 09:27:58, 0
